Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
13/01/2010,10795.48,10866.62,10729.86,10735.03,80.81999999999971,116.65999999999985,-49.79000000000087,10786.373333333333,10737.143333333333,10698.313333333334,10689.356666666668,10879.14,10798.32,10681.66,0.4666666666666666,7.0,D,U,0.5333333333333333
14/01/2010,10778.07,10909.94,10774.25,10907.68,-144.10999999999876,80.81999999999971,116.65999999999985,10804.163333333332,10786.373333333333,10737.143333333333,10698.313333333334,10735.03,10879.14,10798.32,0.39999999999999997,8.0,U,U,0.6
15/01/2010,10917.41,10982.1,10878.83,10982.1,172.64999999999964,-144.10999999999876,80.81999999999971,10840.616666666667,10804.163333333332,10786.373333333333,10737.143333333333,10907.68,10735.03,10879.14,0.4666666666666666,9.0,U,U,0.5333333333333333
18/01/2010,10887.61,10895.1,10781.03,10855.08,74.42000000000007,172.64999999999964,-144.10999999999876,10874.936666666666,10840.616666666667,10804.163333333332,10786.373333333333,10982.1,10907.68,10735.03,0.39999999999999997,10.0,D,U,0.6
19/01/2010,10866.83,10866.83,10749.47,10764.9,-127.02000000000044,74.42000000000007,172.64999999999964,10914.953333333333,10874.936666666666,10840.616666666667,10804.163333333332,10855.08,10982.1,10907.68,0.5333333333333333,11.0,D,D,0.4666666666666666
20/01/2010,10834.91,10860.93,10724.57,10737.52,-90.18000000000029,-127.02000000000044,74.42000000000007,10867.36,10914.953333333333,10874.936666666666,10840.616666666667,10764.9,10855.08,10982.1,0.39999999999999997,12.0,D,U,0.6
21/01/2010,10704.79,10886.64,10649.84,10868.41,-27.3799999999992,-90.18000000000029,-127.02000000000044,10785.833333333334,10867.36,10914.953333333333,10874.936666666666,10737.52,10764.9,10855.08,0.5333333333333333,13.0,U,D,0.4666666666666666
22/01/2010,10740.21,10768.07,10528.33,10590.55,130.88999999999942,-27.3799999999992,-90.18000000000029,10790.276666666667,10785.833333333334,10867.36,10914.953333333333,10868.41,10737.52,10764.9,0.4666666666666666,14.0,D,U,0.5333333333333333
25/01/2010,10478.31,10557.64,10414.58,10512.69,-277.8600000000006,130.88999999999942,-27.3799999999992,10732.16,10790.276666666667,10785.833333333334,10867.36,10590.55,10868.41,10737.52,0.4666666666666666,15.0,U,U,0.5333333333333333
26/01/2010,10506.15,10566.49,10324.98,10325.28,-77.85999999999876,-277.8600000000006,130.88999999999942,10657.216666666667,10732.16,10790.276666666667,10785.833333333334,10512.69,10590.55,10868.41,0.5333333333333333,16.0,D,D,0.4666666666666666
